Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery_Cell","BatteryHolder_Keystone_106_1x20mm",-1.377953,0.708662,180.000000,bottom
"J1","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",-1.079528,3.051181,-90.000000,bottom
"J2","Power_inlet_vertical","Wurth-694106402002",-4.822835,0.508661,-90.000000,bottom
"BZ1","Buzzer","Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm",0.787402,1.673228,0.000000,top
"C1","C_0805_0.1uf","C_0805_2012Metric",4.527559,2.952756,180.000000,top
"C2","C_0805_0.1uf","C_0805_2012Metric",4.330709,2.952756,180.000000,top
"C3","C_0805_0.1uf","C_0805_2012Metric",1.049213,3.248031,180.000000,top
"C4","C_0805_22pf","C_0805_2012Metric",4.527559,1.968504,-90.000000,top
"C5","C_0805_22pf","C_0805_2012Metric",4.921260,1.968504,-90.000000,top
"C6","C_0805_1uf","C_0805_2012Metric",4.625984,1.082677,90.000000,top
"C7","C_0805_0.1uf","C_0805_2012Metric",5.216535,1.082677,90.000000,top
"C8","C_0805_0.1uf","C_0805_2012Metric",1.862205,0.944882,0.000000,top
"C9","C_0805_10uf","C_0805_2012Metric",1.870079,1.220472,0.000000,top
"D1","LED_0805","LED_0805_2012Metric",4.232283,3.248031,0.000000,top
"D2","LED_0805","LED_0805_2012Metric",1.659449,2.165354,0.000000,top
"DS1","LED_Display_1001","Adafruit-1001-0-0-MFG",2.755906,1.732283,90.000000,top
"J3","Conn_02x03_Odd_Even","PinHeader_2x03_P2.54mm_Vertical",4.921260,3.249606,0.000000,top
"Q1","NPN_2N3904_SOT23","SOT-23",1.338583,1.653543,180.000000,top
"R1","R_0805_2.2K","R_0805_2012Metric",4.625984,3.248031,180.000000,top
"R2","R_0805_10K","R_0805_2012Metric",4.625984,3.149606,0.000000,top
"R3","R_0805_4.7K","R_0805_2012Metric",1.279528,3.248031,0.000000,top
"R4","R_0805_4.7K","R_0805_2012Metric",1.476378,3.248031,0.000000,top
"R5","R_0805_4.7K","R_0805_2012Metric",0.492126,2.854331,0.000000,top
"R6","R_0805_4.7K","R_0805_2012Metric",0.787402,2.854331,0.000000,top
"R7","R_0805_22K","R_0805_2012Metric",2.755906,0.748031,180.000000,top
"R8","R_0805_2.2K","R_0805_2012Metric",1.653543,2.362205,0.000000,top
"R9","R_0805_10K","R_0805_2012Metric",1.738189,0.196850,180.000000,top
"R10","R_0805_10K","R_0805_2012Metric",2.328740,0.196850,180.000000,top
"R11","R_0805_10K","R_0805_2012Metric",2.952756,0.196850,180.000000,top
"R12","R_0805_10K","R_0805_2012Metric",3.543307,0.196850,180.000000,top
"R13","R_0805_1K","R_0805_2012Metric",1.299213,1.968504,-90.000000,top
"R14","R_0805_2.2K","R_0805_2012Metric",1.574803,1.653543,-90.000000,top
"SW1","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",3.937008,3.149606,0.000000,top
"SW2","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",1.870079,0.492126,0.000000,top
"SW3","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",2.460630,0.492126,0.000000,top
"SW4","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",3.051181,0.492126,0.000000,top
"SW5","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",3.641732,0.492126,0.000000,top
"U1","ATmega328-PU","DIP-28_W7.62mm",3.779528,2.507874,90.000000,top
"U2","L7805","TO-252-2",4.904528,1.142717,90.000000,top
"U3","MAX7219","DIP-24_W7.62mm",3.306102,1.212598,-90.000000,top
"U4","UltrasonicModule","HC-SR04_Horiz",2.755906,2.854331,0.000000,top
"U5","DS1307_DIP-8","DIP-8_W7.62mm",0.440945,2.311024,90.000000,top
"Y1","Crystal_16MHz","Crystal_SMD_HC49-SD",4.724409,2.263780,180.000000,top
"Y2","Crystal_32768Hz","Crystal_SMD_2Pin_3.2x1.5mm",0.492126,2.066929,0.000000,top
